"resistance","intersects","x","y","CI.l","CI.u","sign.check","Prob"
0.00224873274884525,9,23904.21923799,49289.6841446,-0.00205239833954523,0.00654986383723572,-1,0.748
0.00224873274884525,9,24708.60242033,49289.6841446,-0.00205239833954523,0.00654986383723572,-1,0.716
0.00221827102458069,27,25512.98560267,49289.6841446,-0.0011231061861535,0.00555964823531489,-1,0.854
0.00220304016244841,18,26317.36878501,49289.6841446,-0.00262813125082098,0.00703421157571781,-1,0.816
0.00224873274884525,9,23099.83605565,48439.6666938,-0.00205239833954523,0.00654986383723572,-1,0.737
0.00224873274884525,9,23904.21923799,48439.6666938,-0.00205239833954523,0.00654986383723572,-1,0.714
0.00220304016244841,18,26317.36878501,48439.6666938,-0.00262813125082098,0.00703421157571781,-1,0.791
0.00410590189757137,9,27121.75196735,48439.6666938,-0.00486138913817342,0.0130731929333162,-1,0.864
0.00224873274884525,9,21491.06969097,47589.649243,-0.00205239833954523,0.00654986383723572,-1,0.722
0.00224873274884525,9,22295.45287331,47589.649243,-0.00205239833954523,0.00654986383723572,-1,0.734
0.00224873274884525,9,23099.83605565,47589.649243,-0.00205239833954523,0.00654986383723572,-1,0.746
0.000300178427325462,9,26317.36878501,47589.649243,-0.00546834425311772,0.00606870110776864,-1,0.565
0.00220304016244841,18,27121.75196735,47589.649243,-0.00262813125082098,0.00703421157571781,-1,0.801
0.00410590189757137,9,27926.13514969,47589.649243,-0.00486138913817342,0.0130731929333162,-1,0.841
0.00161769387974541,54,20686.68650863,46739.6317922,-0.00165576171893,0.00489114947842082,-1,0.832
0.000110523639157402,27,21491.06969097,46739.6317922,-0.00323330228041559,0.00345434955873039,-1,0.503
-0.000958580915686519,18,22295.45287331,46739.6317922,-0.00570011216694476,0.00378295033557172,-1,0.374
-0.000958580915686519,18,23099.83605565,46739.6317922,-0.00570011216694476,0.00378295033557172,-1,0.36
-0.000958580915686519,18,23904.21923799,46739.6317922,-0.00570011216694476,0.00378295033557172,-1,0.358
-0.000958580915686519,18,24708.60242033,46739.6317922,-0.00570011216694476,0.00378295033557172,-1,0.374
2.00676584057252e-05,9,25512.98560267,46739.6317922,-0.00912275237627103,0.00916288769308248,-1,0.525
2.00676584057252e-05,9,26317.36878501,46739.6317922,-0.00912275237627103,0.00916288769308248,-1,0.498
0.000160123042865593,18,27121.75196735,46739.6317922,-0.00463814346336084,0.00495838954909202,-1,0.545
0.0014373988821824,27,27926.13514969,46739.6317922,-0.00311529950618091,0.00599009727054571,-1,0.756
0.0025586064176316,63,28730.51833203,46739.6317922,-0.000916680669727944,0.00603389350499115,-1,0.961
-0.00136760631775047,9,19882.30332629,45889.6143414,-0.00677078864802988,0.00403557601252894,-1,0.378
0.00312486412033341,27,20686.68650863,45889.6143414,-0.00270286181550988,0.0089525900561767,-1,0.901
-0.00193722948977876,9,24708.60242033,45889.6143414,-0.00734839471606279,0.00347393573650526,-1,0.314
-0.00193722948977876,9,25512.98560267,45889.6143414,-0.00734839471606279,0.00347393573650526,-1,0.332
-0.00193722948977876,9,26317.36878501,45889.6143414,-0.00734839471606279,0.00347393573650526,-1,0.312
0.00212756831616899,81,27121.75196735,45889.6143414,-0.00070315534874529,0.00495829198108328,-1,0.956
0.00128307064565574,36,27926.13514969,45889.6143414,-0.00303492634178682,0.0056010676330983,-1,0.752
0.00339951206921851,36,28730.51833203,45889.6143414,-0.00181179500778787,0.00861081914622488,-1,0.958
-0.000407017037959953,18,29534.90151437,45889.6143414,-0.00567529980602373,0.00486126573010382,-1,0.449
-0.00136760631775047,9,19882.30332629,45039.5968906,-0.00677078864802988,0.00403557601252894,-1,0.381
0.00537109933937535,18,20686.68650863,45039.5968906,-0.00313594762838326,0.013878146307134,-1,0.964
0.00615267338227804,18,26317.36878501,45039.5968906,-0.00284917073250881,0.0151545174970649,-1,0.981
0.00521762777511709,27,27121.75196735,45039.5968906,-0.000842371467747699,0.0112776270179819,-1,0.981
0.00207339801321201,36,27926.13514969,45039.5968906,-0.00199574816641812,0.00614254419284214,-1,0.851
0.00214026129251938,36,28730.51833203,45039.5968906,-0.00282131772419632,0.00710184030923508,-1,0.88
-0.000633323944356741,27,29534.90151437,45039.5968906,-0.00425753909364836,0.00299089120493488,-1,0.424
0.00227575583050676,9,30339.28469671,45039.5968906,-0.0062228309009166,0.0107743425619301,-1,0.735
-0.00136760631775047,9,19077.92014395,44189.5794398,-0.00677078864802988,0.00403557601252894,-1,0.392
-0.00136760631775047,9,19882.30332629,44189.5794398,-0.00677078864802988,0.00403557601252894,-1,0.407
0.00537109933937535,18,20686.68650863,44189.5794398,-0.00313594762838326,0.013878146307134,-1,0.965
0.011013217393068,9,21491.06969097,44189.5794398,-0.0058923793484505,0.0279188141345865,-1,0.992
-0.00124993817852078,9,24708.60242033,44189.5794398,-0.00749163507765339,0.00499175872061184,-1,0.368
0.00615267338227804,18,25512.98560267,44189.5794398,-0.00284917073250881,0.0151545174970649,-1,0.981
0.00615267338227804,18,26317.36878501,44189.5794398,-0.00284917073250881,0.0151545174970649,-1,0.983
0.00707231461778223,18,27926.13514969,44189.5794398,5.02329503648553e-06,0.014139605940528,1,0.993
0.00321566097574261,27,28730.51833203,44189.5794398,-0.00333506313676789,0.00976638508825312,-1,0.927
-0.00208786383178849,18,29534.90151437,44189.5794398,-0.00607008730276094,0.00189435963918395,-1,0.227
-0.000633323944356741,27,30339.28469671,44189.5794398,-0.00425753909364836,0.00299089120493488,-1,0.422
0.00227575583050676,9,31143.66787905,44189.5794398,-0.0062228309009166,0.0107743425619301,-1,0.746
